Stone,Column,Order,PID,Name,M/F,Birth date,Year of departure,Age at departure,Death date,Notes,Pioneer Database Link
11,Left,22,L212-9K9,"Virgin, Mercy Ann",F,1861-12-20,1862,Infant,6 October 1862,,https://history.churchofjesuschrist.org/chd/individual/mercy-ann-virgin-1861
16,Center,13,LV62-PV4,"Wade, Alfred Hezekiah",M,1853-01-08,1868,15,16 September 1868,,https://history.churchofjesuschrist.org/chd/individual/alfred-hezekiah-wade-1853
7,Right,26,L5BR-MLJ,"Walsh, Robert",M,1851-06-06,1856,5,13 September 1856,,https://history.churchofjesuschrist.org/chd/individual/robert-walsh-1851
5,Left,12,L191-8K6,"Walsh, Stephen",M,1837-08-18,1855,17,29 June 1855,Married at the time of his death. ,https://history.churchofjesuschrist.org/chd/individual/stephen-walsh-1837
7,Right,27,K4G4-5PC,"Walters, Jane",F,1856-09-06,1856,Infant,5 November 1856,,https://history.churchofjesuschrist.org/chd/individual/jane-walters-1856
14,Left,22,K2M4-RG6,"Walters, Jane Sarah",F,1864-05-21,1866,2,4 August 1866,,https://history.churchofjesuschrist.org/chd/individual/jane-sarah-walters-1864
2,Center,5,KWBB-CP2,"Walton, George",M,1850-12-08,1851,Infant,18 June 1851,,https://history.churchofjesuschrist.org/chd/individual/george-walton-1850
14,Left,24,KWVP-HS8,"Warnick, Augusta",F,1866-08-24,1866,Infant,24 August 1866,This is the same person as the unnamed Warnick baby.,https://history.churchofjesuschrist.org/chd/individual/child-warnick-1866
14,Left,25,KWJN-TSV,"Warnick, John Gustav",M,1863-10-26,1866,8,8 August 1866,Discrepancy about age of departure.,Not in BioDB
14,Left,23,KWVP-HS8,"Warnick, NN",F,1866-08-24,1866,Infant,24 August 1866,Same person as line 631.,https://history.churchofjesuschrist.org/chd/individual/child-warnick-1866
1,Left,28,KWVM-PLM,"Webb, Lydia Priscilla",F,1847-03-25,1850,3,1850,,https://history.churchofjesuschrist.org/chd/individual/lydia-priscilla-webb-1847
1,Left,29,LLMD-6H3,"Webb, Phoebe Arabella",F,1848-02-22,1850,2,17 July 1850,,https://history.churchofjesuschrist.org/chd/individual/phoebe-arabella-webb-1848
13,Right,68,KWVP-44N,"Webb, Sarah Louise",F,1863-08-06,1863,Infant,28 September 1863,,https://history.churchofjesuschrist.org/chd/individual/sarah-louise-webb-1863
13,Right,69,KWVP-44N,"Weeks, NN",F,1863-08-06,1863,Infant,28 September 1863,Technically a duplicate. This child is Sarah Louise Webb.,https://history.churchofjesuschrist.org/chd/individual/sarah-louise-webb-1863
7,Right,28,KJ8N-DB9,"Welling, Job",M,1855-10-20,1856,Infant,17 June 1856,,https://history.churchofjesuschrist.org/chd/individual/job-welling-1855
13,Right,70,KWVT-XPL,"West, Mary Ann",F,1860-05-11,1863,3,22 October 1863,,https://history.churchofjesuschrist.org/chd/individual/mary-ann-west-1860
3,Left ,13,KWV9-LDZ,"Wheeler, Mary",F,1837-04-06,1852,15,21 July 1852,"In Family Search under the name ""Mary Bradley."" Wheeler was her step-father's surname. ",https://history.churchofjesuschrist.org/chd/individual/mary-bradley-1837
1,Right,47,KWVP-P2L,"Whitney, William Howard",M,1848-08-17,1848,Infant,23 August 1848,,https://history.churchofjesuschrist.org/chd/individual/william-howard-whitney-1848
3,Left ,14,27S1-LW5,"Wilbur, Joseph D.  ",M,1851-01-01,1852,1,19 August 1852,,https://history.churchofjesuschrist.org/chd/individual/joseph-d-wilbur-1851
1,Left,30,27SP-C4F,"Wilcox, Elmira Charlotte",F,About 1848,1850,2,2 July 1859,,https://history.churchofjesuschrist.org/chd/individual/elmira-charlotte-wilcox-1848
1,Right,52,KWVH-62V,"Wilcox, Sally",F,1845-02-13,1849,4,21 October 1849,,https://history.churchofjesuschrist.org/chd/individual/sally-wilcox-1845
3,Left ,15,KWVQ-ZVC,"Wilde, Henry",M,1846-01-19,1852,6,20 August 1852,,https://history.churchofjesuschrist.org/chd/individual/henry-wilde-1846
5,Left,13,KWV3-1GB,"Wilkins, Charles Henry",M,1854-12-16,1855,Infant,16 June 1855,,https://history.churchofjesuschrist.org/chd/individual/charles-henry-wilkins-1854
10,Right,31,KWVQ-PWV,"Williams, Anne",F,1859-02-04,1861,1,31 August 1861,Discrepancy about age of departure.,https://history.churchofjesuschrist.org/chd/individual/anne-williams-1859
1,Right,38,LZFZ-VNX,"Williams, NN ",M,1847-08-15,1847,Infant,15 August 1847,,https://history.churchofjesuschrist.org/chd/individual/infant-williams-1847
1,Right,39,LZFZ-VNX,"Williams, NN ",M,1847-08-15,1847,Infant,15 August 1847,Duplicate on the monument.,https://history.churchofjesuschrist.org/chd/individual/infant-williams-1847
16,Center,14,K8ZS-BK6,"Williams, Sarah Ann",F,1862-02-26,1868,5,August 1868,Discrepency between the age at departure and the death date,https://history.churchofjesuschrist.org/chd/individual/sarah-ann-williams-1862
14,Left,26,KWVS-97J,"Williamson, Sina Dina",F,1865-02-19,1866,1,3 August 1866,,https://history.churchofjesuschrist.org/chd/individual/sina-dina-williamson-1865
3,Left ,16,KFBT-2WZ,"Wilson, Catherine",F,1849-12-03,1852,2,19 July 1852,,https://history.churchofjesuschrist.org/chd/individual/catherine-wilson-1849
13,Left,43,LL9T-QZR,"Wilson, Fanny",F,November 1861,1864,2,1864,,https://history.churchofjesuschrist.org/chd/individual/fanny-knapp-1860
13,Left,44,LL9T-WM3,"Wilson, Lavina",F,November 1861,1864,2,1864,"May not have died on trail. Death date discrepency. Probably died shortly after reaching Utah. She was buried in Grantsville, Utah. Not listed in the database as ""Died en route.""",https://history.churchofjesuschrist.org/chd/individual/lavina-wilson-1861
13,Left,45,LH78-4NQ,"Wilson, Martha",F,1852-07-01,1864,11,1864,,https://history.churchofjesuschrist.org/chd/individual/martha-knapp-1852
7,Right,29,G7RL-SNJ,"Wilson, NN",,1856-01-01,1856,Infant,About 25 August 1856 ,,https://history.churchofjesuschrist.org/chd/individual/baby-wilson-1856
1,Right,53,KFTN-V7V,"Wilson, Phebe Ann",F,Unknown,1849,Unknown,Before 10 October 1849,,https://history.churchofjesuschrist.org/chd/individual/phebe-ann-wilson
3,Left ,17,K2TG-11N,"Wiltshire, Ann",F,About 1846,1852,3,27 July 1852,Discrepency between the age at departure and the birth date,https://history.churchofjesuschrist.org/chd/individual/ann-wiltshire-1848
13,Left,46,KWVG-2JY,"Winkler, Jacob",M,1862-11-06,1864,1,September 1864,,https://history.churchofjesuschrist.org/chd/individual/jacob-winkler-1862
13,Right,71,MF6T-NNW,"Winsby, Thomas",M,1861-01-01,1863,2,October 1863,May not have died en route. Not enough information to confirm his date of death. ,https://history.churchofjesuschrist.org/chd/individual/thomas-winsby-1861
7,Right,30,MXVV-X4Y,"Wiseman, Henry H. ",M,About 1854,1856,2,30 August 1856,,https://history.churchofjesuschrist.org/chd/individual/henry-h-wiseman-1854
7,Right,31,MXVV-X48,"Wiseman, John Joseph",M,About 1851,1856,5,9 October 1856,,https://history.churchofjesuschrist.org/chd/individual/john-joseph-wiseman-1851
5,Left,14,K838-586,"Worlton, James Cyrus",M,1855-04-26,1855,Infant,12 July 1855,,https://history.churchofjesuschrist.org/chd/individual/james-cyrus-worlton-1855
1,Left,31,KWVP-8M7,"Wright, Lyman Van ",M,1850-05-21,1850,Infant,4 July 1850,,https://history.churchofjesuschrist.org/chd/individual/lyman-van-wright-1850
1,Right,54,LCRJ-TVK,"Young, James Marion ",M,1846-12-06,1849,2,29 August 1849,,https://history.churchofjesuschrist.org/chd/individual/james-marion-young-1846
3,Left ,18,KLBB-RWB,"Young, Samuel Smith",M,1844-02-24,1852,8,8 July 1852,,https://history.churchofjesuschrist.org/chd/individual/samuel-smith-young-1844
